trigger_index,trigger_time,price,price_delta,volatility,prediction,actual_digit,correct
2707,1786206614,600.13,-0.20000000000004547,0.14420664185661583,3,3,True
2710,1786206620,599.8,-0.12999999999999545,0.13275290329533124,3,5,False
2723,1786206646,599.52,-0.12000000000000455,0.13420134127495092,3,0,False
2728,1786206656,599.51,-0.12999999999999545,0.09371943946338468,3,9,False
2729,1786206658,599.29,-0.22000000000002728,0.11596934460834032,3,9,False
2741,1786206682,598.79,-0.10000000000002274,0.1156094959575499,3,7,False
2746,1786206692,599.19,-0.11999999999989086,0.12404748194855487,3,2,False
2753,1786206706,598.88,-0.12000000000000455,0.1014834414516998,3,7,False
2755,1786206710,599.05,-0.12000000000000455,0.12885823390236728,3,2,False
2756,1786206712,598.92,-0.12999999999999545,0.12970479302372845,3,4,False
2770,1786206740,600.47,-0.10000000000002274,0.14024185458621855,3,4,False
2780,1786206760,599.99,-0.12000000000000455,0.12072006185112999,3,5,False
2783,1786206766,600.0,-0.22000000000002728,0.11992590304945495,3,9,False
2784,1786206768,599.89,-0.11000000000001364,0.12347289401144305,3,2,False
2791,1786206782,599.99,-0.2400000000000091,0.13825901618180214,3,5,False
2812,1786206824,601.08,-0.2199999999999136,0.12865112168615755,3,4,False
2817,1786206834,601.18,-0.12999999999999545,0.1127435635018945,3,5,False
2820,1786206840,601.04,-0.12000000000000455,0.1151617220356549,3,8,False
2828,1786206856,601.46,-0.15999999999996817,0.13884043599278523,3,3,True
2837,1786206874,601.52,-0.11000000000001364,0.10509255180290432,3,0,False
2851,1786206902,601.97,-0.14999999999997726,0.1357325802205558,3,9,False
2853,1786206906,601.67,-0.22000000000002728,0.1367885635245486,3,9,False
2864,1786206928,602.04,-0.17000000000007276,0.14523926619355915,3,3,True
2882,1786206964,602.56,-0.11000000000001364,0.1451589167468387,3,2,False
2887,1786206974,602.54,-0.12999999999999545,0.133786729120978,3,7,False
2904,1786207008,601.07,-0.2099999999999227,0.14214233867657977,3,1,False
2930,1786207060,600.71,-0.11000000000001364,0.09380831519646572,3,0,False
2959,1786207118,601.29,-0.12000000000000455,0.13013241119891164,3,0,False
2966,1786207132,601.46,-0.12000000000000455,0.1218423389284194,3,6,False
2968,1786207136,601.29,-0.2699999999999818,0.14069667926268858,3,0,False
2992,1786207184,600.58,-0.12999999999999545,0.1338157937863299,3,4,False
2993,1786207186,600.44,-0.13999999999998636,0.13118688958886093,3,1,False
3000,1786207200,600.58,-0.15999999999996817,0.10027185270276333,3,6,False
3003,1786207206,600.75,-0.19000000000005457,0.13584713631303422,3,9,False
3016,1786207232,600.31,-0.32000000000005,0.11942454614621706,3,4,False
3019,1786207238,600.15,-0.18000000000006366,0.13353734392383237,3,0,False
3020,1786207240,600.0,-0.14999999999997726,0.13169408997119486,3,3,True
3033,1786207266,600.81,-0.11000000000001364,0.10068653225623898,3,8,False
3041,1786207282,601.19,-0.11999999999989086,0.1104737273945341,3,7,False
3042,1786207284,600.97,-0.22000000000002728,0.1345155918265335,3,2,False
3043,1786207286,600.82,-0.14999999999997726,0.13884043599277462,3,8,False
3046,1786207292,600.72,-0.10000000000002274,0.10938718186128697,3,1,False
3048,1786207296,600.48,-0.2300000000000182,0.09580651798750847,3,9,False
3058,1786207316,600.72,-0.15999999999996817,0.12121606054205042,3,5,False
3066,1786207332,600.94,-0.10999999999989996,0.13403565031570705,3,5,False
3085,1786207370,601.39,-0.13999999999998636,0.14298795598077144,3,3,True
3095,1786207390,601.36,-0.17999999999994998,0.13466419139638372,3,0,False
3096,1786207392,601.2,-0.15999999999996817,0.14283245818478418,3,2,False
3105,1786207410,601.35,-0.12999999999999545,0.09562077877393314,3,5,False
3107,1786207414,601.23,-0.12000000000000455,0.08399074023036744,3,1,False
3108,1786207416,601.01,-0.22000000000002728,0.10593499054714345,3,4,False
3110,1786207420,600.67,-0.2700000000000955,0.11585431464657657,3,7,False
3141,1786207482,600.05,-0.21000000000003638,0.13334999895846195,3,4,False
3142,1786207484,599.94,-0.10999999999989996,0.12973905434456365,3,9,False
3144,1786207488,599.75,-0.13999999999998636,0.1207614728849082,3,0,False
3158,1786207516,599.72,-0.18999999999994088,0.12422649565299132,3,0,False
3159,1786207518,599.6,-0.12000000000000455,0.1212939496521606,3,5,False
3161,1786207522,599.44,-0.10999999999989996,0.0973253421376955,3,1,False
3163,1786207526,599.42,-0.19000000000005457,0.12951190421474992,3,1,False
3172,1786207544,598.96,-0.16999999999995907,0.14245857097574352,3,7,False
3178,1786207556,598.98,-0.15999999999996817,0.12206100478401179,3,4,False
3192,1786207584,598.02,-0.12000000000000455,0.14337596265294736,3,4,False
3198,1786207596,598.23,-0.12999999999999545,0.10974718422105156,3,3,True
3200,1786207600,598.21,-0.2199999999999136,0.13383655039718267,3,8,False
3201,1786207602,598.08,-0.12999999999999545,0.14072826455421053,3,4,False
