time,symbol,price,Last digit,price_delta,step_volatility,next_digit,h3_signal,target_digit,correct_prediction
1786203832,R_100,602.15,5,-0.11000000000001364,0.10104454463253743,0,1,3,0
1786203912,R_100,600.68,8,-0.14000000000010004,0.13163923764931973,0,1,3,0
1786203920,R_100,600.43,3,-0.11000000000001364,0.08733078876700542,1,1,3,0
1786203950,R_100,601.04,4,-0.12000000000000455,0.13072447700749082,0,1,3,0
1786203952,R_100,600.9,0,-0.13999999999998636,0.1283051917196495,5,1,3,0
1786203982,R_100,600.86,6,-0.25,0.13737216279549444,0,1,3,0
1786204012,R_100,600.21,1,-0.12000000000000455,0.11820885471627032,5,1,3,0
1786204020,R_100,600.08,8,-0.17999999999994998,0.07717224601857013,9,1,3,0
1786204032,R_100,599.94,4,-0.14999999999997726,0.11215564581814998,6,1,3,0
1786204042,R_100,599.91,1,-0.13999999999998636,0.14257941257028584,0,1,3,0
1786204076,R_100,599.53,3,-0.2400000000000091,0.12799739580685696,9,1,3,0
1786204102,R_100,599.93,3,-0.11000000000001364,0.12384578223654862,3,1,3,1
1786204144,R_100,599.66,6,-0.17000000000007276,0.12211106056009825,1,1,3,0
1786204166,R_100,599.61,1,-0.22000000000002728,0.1380016102965692,9,1,3,0
1786204174,R_100,599.41,1,-0.18000000000006366,0.11429007928176321,0,1,3,0
1786204196,R_100,599.93,3,-0.22000000000002728,0.1426767909180174,0,1,3,0
1786204250,R_100,599.75,5,-0.21000000000003638,0.13984515246038778,9,1,3,0
1786204304,R_100,601.52,2,-0.22000000000002728,0.12903057346570332,8,1,3,0
1786204338,R_100,601.05,5,-0.15000000000009095,0.10668749796588657,0,1,3,0
1786204352,R_100,600.92,2,-0.2599999999999909,0.1262317093461165,8,1,3,0
1786204366,R_100,600.62,2,-0.12000000000000455,0.09312476696466185,4,1,3,0
1786204368,R_100,600.24,4,-0.37999999999999545,0.13589620221984944,8,1,3,0
1786204390,R_100,600.26,6,-0.14999999999997726,0.12154560186747415,1,1,3,0
1786204398,R_100,600.39,9,-0.13999999999998636,0.12174654911831582,5,1,3,0
1786204400,R_100,600.25,5,-0.13999999999998636,0.11508933728001733,6,1,3,0
1786204402,R_100,599.96,6,-0.2899999999999636,0.14487159065107877,3,1,3,1
1786204404,R_100,599.83,3,-0.12999999999999545,0.14523926619355004,7,1,3,0
1786204448,R_100,599.96,6,-0.1999999999999318,0.12882373832315683,3,1,3,1
1786204454,R_100,599.88,8,-0.14999999999997726,0.11905180945005556,7,1,3,0
1786204456,R_100,599.77,7,-0.11000000000001364,0.1222020185321499,6,1,3,0
1786204462,R_100,599.73,3,-0.22000000000002728,0.13148721948877573,9,1,3,0
1786204468,R_100,599.7,0,-0.16999999999995907,0.13259797216482136,4,1,3,0
1786204476,R_100,599.6,0,-0.18999999999994088,0.14360826345767838,7,1,3,0
1786204496,R_100,599.73,3,-0.17999999999994998,0.10198583779677219,6,1,3,0
1786204502,R_100,599.74,4,-0.22000000000002728,0.11824644697504792,6,1,3,0
1786204542,R_100,600.4,0,-0.2799999999999727,0.14032106042930065,0,1,3,0
1786204596,R_100,600.45,5,-0.16999999999995907,0.1408545348932699,6,1,3,0
